Dataset,Size Schema,Config,Size ITE,Ratio ITE,#Constraints,Runtime
MapGermany,405,threshold-15,172,0.296,6,6.630501985549927
MapGermany,405,threshold-35,143,0.259,5,6.609999418258667
MapGermany,405,threshold-50,114,0.218,4,7.01750111579895
MapEU,359,threshold-15,115,0.241,4,3.7190001010894775
MapEU,359,threshold-35,86,0.192,3,3.834996223449707
MapEU,359,threshold-50,86,0.192,3,3.584289789199829
WorldGenBerlin,1339,threshold-15,254,0.159,8,34.84499979019165
WorldGenBerlin,1339,threshold-35,167,0.111,5,18.07599902153015
WorldGenBerlin,1339,threshold-50,138,0.093,4,11.03950309753418
USHouseMembers,493,threshold-15,48,0.088,2,1.1864995956420898
USHouseMembers,493,threshold-35,48,0.088,2,1.3615012168884277
USHouseMembers,493,threshold-50,48,0.088,2,1.3119964599609375
WildlifeSites,143,threshold-15,83,0.361,3,49.16700029373169
WildlifeSites,143,threshold-35,35,0.192,1,53.69399976730347
WildlifeSites,143,threshold-50,35,0.192,1,51.79700016975403
